id	time	latitude	longitude
22020	780398	50.995699	6.960392
22020	780652	50.938279	6.844214
22020	780756	50.997175	6.899977
22020	780855	50.893672	7.077051
22020	780981	50.904268	6.938563
22020	781	50.949444	6.840147
22020	781059	50.933977	6.950593
22020	781107	50.936591	6.923573
22020	781137	50.946296	7.080633
22020	781609	50.938101	6.841853
22020	781708	50.967909	7.036920
22020	781716	50.910680	6.958470
22020	781926	50.955269	6.916391
22020	782037	50.935616	6.952592
22020	782223	50.968117	7.066860
22020	782278	50.896329	7.042771
22020	782478	50.935012	7.018931
22020	78254	50.978680	7.070736
22020	782629	50.939310	7.010577
22020	782850	51.003590	6.871073
22020	783000	50.931040	6.969429
22020	783439	50.890004	6.967928
22020	783616	50.932785	6.934196
22020	783675	50.936281	6.929385
22020	783886	50.932897	6.984538
22020	783987	50.890396	6.980258
22020	784109	50.929618	6.847963
22020	784196	50.957090	6.972034
22020	784584	50.938109	6.841426
22020	784773	50.968676	6.873887
22020	785245	50.967169	7.033098
22020	785576	50.946174	7.005254
22020	785666	50.928328	6.975337
22020	785719	50.873825	7.050163
22020	785971	50.904375	7.061934
22020	786065	50.953707	6.963557
22020	78634	50.996395	6.939701
22020	786348	50.939413	6.864400
22020	78644	50.958336	6.898748
22020	786483	50.918428	6.988423
22020	786507	50.931880	7.030721
22020	786772	50.968778	6.871829
22020	786847	50.903103	6.994362
22020	786936	50.982022	7.068402
22020	787281	51.039999	6.880180
22020	787984	50.931705	7.029440
22020	788013	50.926338	6.946134
22020	788061	50.937095	6.924529
22020	788135	50.968736	6.873383
22020	7884	50.880983	7.055506
22020	788411	50.941461	6.973419
22020	788515	50.957272	7.011601
22020	788729	50.962224	6.954135
22020	788918	50.975306	7.060910
22020	789157	50.853501	7.089164
22020	789333	50.932682	6.976332
22020	789496	50.950362	7.025017
22020	789913	50.923888	6.952484
22020	790225	50.869871	7.023099
22020	790426	50.933760	7.015397
22020	79064	50.922776	7.005460
22020	790779	51.036077	7.008686
22020	790793	50.922102	6.913881
22020	790813	50.922505	6.930451
22020	791524	50.926116	6.946672
22020	791617	50.930836	6.925638
22020	791627	50.961753	6.926070
22020	791731	50.962885	7.012011
22020	791921	50.910618	6.958981
22020	792090	50.969370	7.006757
22020	792237	50.931520	6.954354
22020	792472	50.971401	7.009954
22020	792484	51.045013	6.840080
22020	792566	50.967576	7.067294
22020	792927	50.931100	6.971073
22020	793175	50.954577	6.918073
22020	793192	50.926410	6.964356
22020	793299	50.864576	6.973865
22020	793375	50.929756	7.042936
22020	793489	50.974369	6.969337
22020	79358	50.997366	6.900280
22020	793612	50.953715	6.920274
22020	7937	50.920948	6.959759
22020	79375	50.968789	6.872491
22020	793968	50.955416	7.013852
22020	794154	50.999828	6.915918
22020	794529	50.896506	7.086585
22020	794663	50.995914	6.908258
22020	794743	50.862474	7.008256
22020	794949	50.930588	6.924319
22020	795014	50.931056	7.029426
22020	795255	50.911713	6.925115
22020	795358	50.889138	6.997389
22020	795469	50.957571	6.976263
22020	795561	50.940502	7.036236
22020	795952	50.969241	6.869325
22020	795966	50.971102	7.009519
22020	796095	50.947179	6.945071
22020	796244	50.940871	6.937989
22020	796810	50.936070	6.952382
22020	796878	51.001389	6.912477
22020	797008	50.872778	6.969786
22020	797061	50.966229	6.911279
22020	797177	50.944942	6.985940
22020	79769	50.874578	7.083478
22020	797998	51.037812	6.902957
22020	798034	50.949411	6.930292
22020	798230	50.936341	6.986783
22020	798612	50.945556	7.074559
22020	798816	50.915365	6.919394
22020	798842	50.945050	6.911957
22020	798903	50.868163	7.047154
22020	798916	50.896910	6.966371
22020	799133	50.976329	6.871540
22020	799616	51.021646	6.891743
22020	799724	50.936567	6.924212
22020	799769	50.954787	6.965940
22020	8000	50.999894	6.913473
22020	800001	50.930854	6.994549
22020	800237	50.942629	7.028082
22020	800352	50.937370	6.997314
22020	80037	50.986471	6.945749
22020	800626	50.963759	7.005128
22020	800878	50.949149	6.913576
22020	801020	50.929321	6.919935
22020	801093	50.885249	6.940798
22020	801133	50.976045	6.949785
22020	801309	51.025239	6.850465
22020	801697	50.841833	7.068785
22020	801806	50.968917	6.869012
22020	80185	50.962693	6.954089
22020	801875	50.874907	7.051156
22020	801973	50.967761	7.036209
22020	802090	50.941615	7.043416
22020	802096	50.964286	7.006779
22020	80230	50.883474	7.055672
22020	802349	50.932134	6.954656
